"Time (CET/CEST)","Germany (DE) > Norway (NO) [MW]","Norway (NO) > Germany (DE) [MW]"
"03.01.2021 19:00 - 03.01.2021 19:15","0","130"
"03.01.2021 19:15 - 03.01.2021 19:30","0","130"
"03.01.2021 19:30 - 03.01.2021 19:45","0","130"
"03.01.2021 19:45 - 03.01.2021 20:00","0","130"
"03.01.2021 20:00 - 03.01.2021 20:15","0","130"
"03.01.2021 20:15 - 03.01.2021 20:30","0","130"
"03.01.2021 20:30 - 03.01.2021 20:45","0","130"
"03.01.2021 20:45 - 03.01.2021 21:00","0","131"
"03.01.2021 21:00 - 03.01.2021 21:15","0","130"
"03.01.2021 21:15 - 03.01.2021 21:30","0","130"
"03.01.2021 21:30 - 03.01.2021 21:45","0","130"
"03.01.2021 21:45 - 03.01.2021 22:00","0","132"
"03.01.2021 22:00 - 03.01.2021 22:15","0","138"
"03.01.2021 22:15 - 03.01.2021 22:30","0","140"
"03.01.2021 22:30 - 03.01.2021 22:45","0","140"
"03.01.2021 22:45 - 03.01.2021 23:00","0","140"
"03.01.2021 23:00 - 03.01.2021 23:15","0","140"
"03.01.2021 23:15 - 03.01.2021 23:30","0","140"
"03.01.2021 23:30 - 03.01.2021 23:45","0","141"
"03.01.2021 23:45 - 04.01.2021 00:00","0","139"
"04.01.2021 00:00 - 04.01.2021 00:15","0","133"
"04.01.2021 00:15 - 04.01.2021 00:30","0","130"
"04.01.2021 00:30 - 04.01.2021 00:45","0","130"
"04.01.2021 00:45 - 04.01.2021 01:00","0","131"
"04.01.2021 01:00 - 04.01.2021 01:15","0","138"
"04.01.2021 01:15 - 04.01.2021 01:30","0","141"
"04.01.2021 01:30 - 04.01.2021 01:45","0","140"
"04.01.2021 01:45 - 04.01.2021 02:00","0","140"
"04.01.2021 02:00 - 04.01.2021 02:15","0","140"
"04.01.2021 02:15 - 04.01.2021 02:30","0","141"
"04.01.2021 02:30 - 04.01.2021 02:45","0","140"
"04.01.2021 02:45 - 04.01.2021 03:00","0","140"
"04.01.2021 03:00 - 04.01.2021 03:15","0","140"
"04.01.2021 03:15 - 04.01.2021 03:30","0","141"
"04.01.2021 03:30 - 04.01.2021 03:45","0","140"
"04.01.2021 03:45 - 04.01.2021 04:00","0","139"
"04.01.2021 04:00 - 04.01.2021 04:15","0","134"
"04.01.2021 04:15 - 04.01.2021 04:30","0","131"
"04.01.2021 04:30 - 04.01.2021 04:45","0","130"
"04.01.2021 04:45 - 04.01.2021 05:00","0","132"
"04.01.2021 05:00 - 04.01.2021 05:15","0","138"
"04.01.2021 05:15 - 04.01.2021 05:30","0","141"
"04.01.2021 05:30 - 04.01.2021 05:45","0","140"
"04.01.2021 05:45 - 04.01.2021 06:00","0","147"
"04.01.2021 06:00 - 04.01.2021 06:15","0","180"
"04.01.2021 06:15 - 04.01.2021 06:30","0","190"
"04.01.2021 06:30 - 04.01.2021 06:45","0","190"
"04.01.2021 06:45 - 04.01.2021 07:00","0","206"
"04.01.2021 07:00 - 04.01.2021 07:15","0","280"
"04.01.2021 07:15 - 04.01.2021 07:30","0","301"
"04.01.2021 07:30 - 04.01.2021 07:45","0","301"
"04.01.2021 07:45 - 04.01.2021 08:00","0","310"
"04.01.2021 08:00 - 04.01.2021 08:15","0","357"
"04.01.2021 08:15 - 04.01.2021 08:30","0","371"
"04.01.2021 08:30 - 04.01.2021 08:45","0","371"
"04.01.2021 08:45 - 04.01.2021 09:00","0","378"
"04.01.2021 09:00 - 04.01.2021 09:15","0","411"
"04.01.2021 09:15 - 04.01.2021 09:30","0","421"
"04.01.2021 09:30 - 04.01.2021 09:45","0","421"
"04.01.2021 09:45 - 04.01.2021 10:00","0","426"
"04.01.2021 10:00 - 04.01.2021 10:15","0","452"
"04.01.2021 10:15 - 04.01.2021 10:30","0","461"
"04.01.2021 10:30 - 04.01.2021 10:45","0","461"
"04.01.2021 10:45 - 04.01.2021 11:00","0","465"
"04.01.2021 11:00 - 04.01.2021 11:15","0","485"
"04.01.2021 11:15 - 04.01.2021 11:30","0","491"
"04.01.2021 11:30 - 04.01.2021 11:45","0","491"
"04.01.2021 11:45 - 04.01.2021 12:00","0","490"
"04.01.2021 12:00 - 04.01.2021 12:15","0","483"
"04.01.2021 12:15 - 04.01.2021 12:30","0","481"
"04.01.2021 12:30 - 04.01.2021 12:45","0","481"
"04.01.2021 12:45 - 04.01.2021 13:00","0","483"
"04.01.2021 13:00 - 04.01.2021 13:15","0","496"
"04.01.2021 13:15 - 04.01.2021 13:30","0","501"
"04.01.2021 13:30 - 04.01.2021 13:45","0","501"
"04.01.2021 13:45 - 04.01.2021 14:00","0","501"
"04.01.2021 14:00 - 04.01.2021 14:15","0","501"
"04.01.2021 14:15 - 04.01.2021 14:30","0","501"
"04.01.2021 14:30 - 04.01.2021 14:45","0","501"
"04.01.2021 14:45 - 04.01.2021 15:00","0","503"
"04.01.2021 15:00 - 04.01.2021 15:15","0","516"
"04.01.2021 15:15 - 04.01.2021 15:30","0","521"
"04.01.2021 15:30 - 04.01.2021 15:45","0","521"
"04.01.2021 15:45 - 04.01.2021 16:00","0","513"
"04.01.2021 16:00 - 04.01.2021 16:15","0","481"
"04.01.2021 16:15 - 04.01.2021 16:30","0","471"
"04.01.2021 16:30 - 04.01.2021 16:45","0","471"
"04.01.2021 16:45 - 04.01.2021 17:00","0","464"
"04.01.2021 17:00 - 04.01.2021 17:15","0","430"
"04.01.2021 17:15 - 04.01.2021 17:30","0","421"
"04.01.2021 17:30 - 04.01.2021 17:45","0","421"
"04.01.2021 17:45 - 04.01.2021 18:00","0","417"
"04.01.2021 18:00 - 04.01.2021 18:15","0","397"
"04.01.2021 18:15 - 04.01.2021 18:30","0","391"
"04.01.2021 18:30 - 04.01.2021 18:45","0","391"
"04.01.2021 18:45 - 04.01.2021 19:00","0","393"
"04.01.2021 19:00 - 04.01.2021 19:15","0","406"
"04.01.2021 19:15 - 04.01.2021 19:30","0","411"
"04.01.2021 19:30 - 04.01.2021 19:45","0","411"
"04.01.2021 19:45 - 04.01.2021 20:00","0","412"
"04.01.2021 20:00 - 04.01.2021 20:15","0","419"
"04.01.2021 20:15 - 04.01.2021 20:30","0","421"
"04.01.2021 20:30 - 04.01.2021 20:45","0","421"
"04.01.2021 20:45 - 04.01.2021 21:00","0","425"
"04.01.2021 21:00 - 04.01.2021 21:15","0","445"
"04.01.2021 21:15 - 04.01.2021 21:30","0","451"
"04.01.2021 21:30 - 04.01.2021 21:45","0","451"
"04.01.2021 21:45 - 04.01.2021 22:00","0","455"
"04.01.2021 22:00 - 04.01.2021 22:15","0","475"
"04.01.2021 22:15 - 04.01.2021 22:30","0","481"
"04.01.2021 22:30 - 04.01.2021 22:45","0","481"
"04.01.2021 22:45 - 04.01.2021 23:00","0","477"
"04.01.2021 23:00 - 04.01.2021 23:15","0","466"
"04.01.2021 23:15 - 04.01.2021 23:30","0","466"
"04.01.2021 23:30 - 04.01.2021 23:45","0","466"
"04.01.2021 23:45 - 05.01.2021 00:00","0","410"
"05.01.2021 00:00 - 05.01.2021 00:15","0","211"
"05.01.2021 00:15 - 05.01.2021 00:30","0","160"
"05.01.2021 00:30 - 05.01.2021 00:45","0","160"
"05.01.2021 00:45 - 05.01.2021 01:00","0","165"
"05.01.2021 01:00 - 05.01.2021 01:15","0","185"
"05.01.2021 01:15 - 05.01.2021 01:30","0","190"
"05.01.2021 01:30 - 05.01.2021 01:45","0","190"
"05.01.2021 01:45 - 05.01.2021 02:00","0","195"
"05.01.2021 02:00 - 05.01.2021 02:15","0","216"
"05.01.2021 02:15 - 05.01.2021 02:30","0","220"
"05.01.2021 02:30 - 05.01.2021 02:45","0","220"
"05.01.2021 02:45 - 05.01.2021 03:00","0","220"
"05.01.2021 03:00 - 05.01.2021 03:15","0","221"
"05.01.2021 03:15 - 05.01.2021 03:30","0","220"
"05.01.2021 03:30 - 05.01.2021 03:45","0","221"
"05.01.2021 03:45 - 05.01.2021 04:00","0","222"
"05.01.2021 04:00 - 05.01.2021 04:15","0","228"
"05.01.2021 04:15 - 05.01.2021 04:30","0","231"
"05.01.2021 04:30 - 05.01.2021 04:45","0","230"
"05.01.2021 04:45 - 05.01.2021 05:00","0","230"
"05.01.2021 05:00 - 05.01.2021 05:15","0","231"
"05.01.2021 05:15 - 05.01.2021 05:30","0","230"
"05.01.2021 05:30 - 05.01.2021 05:45","0","230"
"05.01.2021 05:45 - 05.01.2021 06:00","0","235"
"05.01.2021 06:00 - 05.01.2021 06:15","0","255"
"05.01.2021 06:15 - 05.01.2021 06:30","0","261"
"05.01.2021 06:30 - 05.01.2021 06:45","0","261"
"05.01.2021 06:45 - 05.01.2021 07:00","0","268"
"05.01.2021 07:00 - 05.01.2021 07:15","0","301"
"05.01.2021 07:15 - 05.01.2021 07:30","0","311"
"05.01.2021 07:30 - 05.01.2021 07:45","0","310"
"05.01.2021 07:45 - 05.01.2021 08:00","0","313"
"05.01.2021 08:00 - 05.01.2021 08:15","0","327"
"05.01.2021 08:15 - 05.01.2021 08:30","0","330"
"05.01.2021 08:30 - 05.01.2021 08:45","0","331"
"05.01.2021 08:45 - 05.01.2021 09:00","0","325"
"05.01.2021 09:00 - 05.01.2021 09:15","0","313"
"05.01.2021 09:15 - 05.01.2021 09:30","0","314"
"05.01.2021 09:30 - 05.01.2021 09:45","0","314"
"05.01.2021 09:45 - 05.01.2021 10:00","0","314"
"05.01.2021 10:00 - 05.01.2021 10:15","0","313"
"05.01.2021 10:15 - 05.01.2021 10:30","0","314"
"05.01.2021 10:30 - 05.01.2021 10:45","0","314"
"05.01.2021 10:45 - 05.01.2021 11:00","0","314"
"05.01.2021 11:00 - 05.01.2021 11:15","0","314"
"05.01.2021 11:15 - 05.01.2021 11:30","0","218"
"05.01.2021 11:30 - 05.01.2021 11:45","0","196"
"05.01.2021 11:45 - 05.01.2021 12:00","0","214"
"05.01.2021 12:00 - 05.01.2021 12:15","0","287"
"05.01.2021 12:15 - 05.01.2021 12:30","0","308"
"05.01.2021 12:30 - 05.01.2021 12:45","0","308"
"05.01.2021 12:45 - 05.01.2021 13:00","0","304"
"05.01.2021 13:00 - 05.01.2021 13:15","0","286"
"05.01.2021 13:15 - 05.01.2021 13:30","0","280"
"05.01.2021 13:30 - 05.01.2021 13:45","0","281"
"05.01.2021 13:45 - 05.01.2021 14:00","0","284"
"05.01.2021 14:00 - 05.01.2021 14:15","0","304"
"05.01.2021 14:15 - 05.01.2021 14:30","0","310"
"05.01.2021 14:30 - 05.01.2021 14:45","0","309"
"05.01.2021 14:45 - 05.01.2021 15:00","0","307"
"05.01.2021 15:00 - 05.01.2021 15:15","0","294"
"05.01.2021 15:15 - 05.01.2021 15:30","0","290"
"05.01.2021 15:30 - 05.01.2021 15:45","0","290"
"05.01.2021 15:45 - 05.01.2021 16:00","0","290"
"05.01.2021 16:00 - 05.01.2021 16:15","0","289"
"05.01.2021 16:15 - 05.01.2021 16:30","0","289"
"05.01.2021 16:30 - 05.01.2021 16:45","0","289"
"05.01.2021 16:45 - 05.01.2021 17:00","0","301"
"05.01.2021 17:00 - 05.01.2021 17:15","0","356"
"05.01.2021 17:15 - 05.01.2021 17:30","0","371"
